name,url,phone,email,address,placeId
First Street Market: Food Hall & Bar,https://fsmyyc.com/,+1 587-943-6664,"leasing@westernsecurities.com, info@fsmyyc.com","1327 1 St SW #6, Calgary, AB T2R 1C9, Canada",ChIJbwdxqFhxcVMRH7InedEg3ig
Paper Lantern,http://www.paperlantern.ca/,+1 403-457-7765,,"115 2 Ave SE Basement, Calgary, AB T2G 0B2, Canada",ChIJkwMSaQRvcVMRcbDiK560bKk
Olea Restaurant,https://oleayyc.com/?y_source=1_MTAzMTMyNzY0My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 403-454-4535,"5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, example@mysite.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com","1520 14 St SW, Calgary, AB T3C 1C9, Canada",ChIJx3V3X39vcVMRkdmxzmvM1qM
LOCAL Public Eatery Barclay,https://localpubliceatery.com/neighbourhoods/barclay/,+1 587-943-3410,,"201 Barclay Parade SW, Calgary, AB T2P 4R5, Canada",ChIJn9ysYV1vcVMR5B1b_H5fvS0
Ten Foot Henry,http://tenfoothenry.com/,+1 403-475-5537,"eat@tenfoothenry.com, EAT@TENFOOTHENRY.COM, work@tenfoothenry.com, user@domain.com","1209 1 St SW, Calgary, AB T2R 0V3, Canada",ChIJsYwX1AJwcVMRqbb6sDmfHlk
Namo Cafe Bistro (Beltline),https://www.namocafebistro.com/,+1 403-263-5872,user@domain.com,"396 11 Ave SW, Calgary, AB T2R 0C5, Canada",ChIJWS0_QGVvcVMRgofZ_wvAPPM
"Brix & Barrel | Calgary, Alberta",https://brixbarrel.ca/,+1 403-262-0080,"reservations@brixbarrel.ca, user@domain.com","351 4 Ave SW, Calgary, AB T2P 0H9, Canada",ChIJd2zznftvcVMRJLyiUuF4JFw
Pigeonhole 17th,https://www.pigeonholeyyc.ca/pigeonhole17th/,+1 403-452-4694,"support@readymag.com, hello@readymag.com, no-reply@readymag.com, edu@readymag.com","306 17 Ave SW, Calgary, AB T2S 2V1, Canada",ChIJj0UiexxwcVMRBj5x_M_PPTI
River Café,http://www.river-cafe.com/,+1 403-261-7670,"user@domain.com, info@river-cafe.com","25 Prince's Island Park, SW, Calgary, AB T2P 0R1, Canada",ChIJ7dqmuPBvcVMRBdUQalfxLFw
Gogi Korean Kitchen,http://www.gogikoreanbbq.ca/,+1 403-453-7691,,"639 5 Ave SW #120, Calgary, AB T2P 0M9, Canada",ChIJ-U3VWYdvcVMRgZmHWy0xbW0
